ID	Detector	miRNA_ID	SPOT_ID
756	hsa-miR-1283-002890	hsa-miR-1283	
757	hsa-miR-1247-002893	hsa-miR-1247	
758	hsa-miR-1253-002894	hsa-miR-1253	
759	hsa-miR-720-002895	hsa-miR-720	
760	hsa-miR-1260-002896	hsa-miR-1260	
761	hsa-miR-664-002897	hsa-miR-664	
762	hsa-miR-1302-002901	hsa-miR-1302	
763	hsa-miR-1300-002902	hsa-miR-1300	
764	hsa-miR-1284-002903	hsa-miR-1284	
765	hsa-miR-548L-002904	hsa-miR-548L	
766	hsa-miR-1293-002905	hsa-miR-1293	
767	hsa-miR-1825-002907	hsa-miR-1825	
768	hsa-miR-1296-002908	hsa-miR-1296
